Year,Pais,CO2
2008,RUS,11.425521
2008,USA,19.541393
2009,CHN,5.700109
2009,IND,1.324202
2009,JPN,9.043972
2009,MEX,4.231603
2009,RUS,10.666272
2009,USA,17.926518
2010,CHN,6.210165
2010,IND,1.359884
2010,JPN,9.444917
2010,MEX,4.064952
2010,RUS,11.24126
2010,USA,18.439653
2011,CHN,6.820351
2011,IND,1.412527
2011,JPN,9.83786
2011,MEX,4.184838
2011,RUS,11.58607
2011,USA,17.861297
2012,CHN,6.959874
2012,IND,1.533689
2012,JPN,10.165023
2012,MEX,4.231966
2012,RUS,11.666224
2012,USA,17.091772
2013,CHN,7.038326
2013,IND,1.587559
2013,JPN,10.245983
2013,MEX,4.124733
2013,RUS,11.218936
2013,USA,17.427345
2014,CHN,7.01728
2014,IND,1.686038
2014,JPN,9.854567
2014,MEX,3.99758
2014,RUS,11.214523
2014,USA,17.452747
2015,CHN,6.882905
2015,IND,1.719975
2015,JPN,9.554099
2015,MEX,3.955215
2015,RUS,11.193303
2015,USA,16.867569
2016,CHN,6.755435
2016,IND,1.806213
2016,JPN,9.417179
2016,MEX,3.929434
2016,RUS,11.139592
2016,USA,16.383918
2017,CHN,6.86177
2017,IND,1.83528
2017,JPN,9.314773
2017,MEX,3.696499
2017,RUS,11.311618
2017,USA,16.160716
2018,CHN,6.974106
2018,IND,1.91575
2018,JPN,8.928224
2018,MEX,3.574588
2018,RUS,11.605805
2018,USA,16.584983
2019,CHN,7.096383
2019,IND,1.914823
2019,JPN,8.72351
2019,MEX,3.437148
2019,RUS,11.50575
2019,USA,16.059735
